energetic_convergences,energy_consumed,UFO_Label,max_spiritual_size,end_time,start_source,end_source,delta_source,TARGET_INIT_MEDITATE,Dimension 4,Dimension 5,start_hour,driveTrain,start_time,
R1SSM11R_2_N001,0.847,1,7.7,3044-08-14T23:50:54,14,25,11,123,43.27542603,-179.2419882,21,NUC,3044-08-14T21:47:23,
R1SSM11R_2_N001,0.231,1,7.7,3044-08-15T01:32:44,11,14,3,31,43.27542765,-179.2420076,1,NUC,3044-08-15T01:01:20,
R1SSM11R_2_N001,6.622,1,7.7,3044-08-15T17:36:01,14,100,86,807,43.27542926,-179.2419882,4,NUC,3044-08-15T04:08:10,
R1SSM11R_2_N001,4.774,1,7.7,3044-08-16T16:31:45,38,100,62,991,43.27543088,-179.2419559,0,NUC,3044-08-16T00:00:43,
R1SSM11R_2_N001,0,1,7.7,3044-08-17T18:13:54,100,95,-5,910,43.2754325,-179.2419559,3,NUC,3044-08-17T03:03:08,
R1SSM11R_2_N001,1.617,1,7.7,3044-08-18T16:54:53,79,100,21,783,43.27543412,-179.2419559,3,NUC,3044-08-18T03:50:56,
R1SSM11R_2_N001,2.156,1,7.7,3044-08-19T18:48:23,72,100,28,1466,43.27543574,-179.2419559,18,NUC,3044-08-18T18:22:22,
R1SSM11R_2_N001,6.853,1,7.7,3044-08-20T15:52:13,10,99,89,792,43.27543735,-179.2419882,2,NUC,3044-08-20T02:39:43,
R1SSM11R_2_N001,6.853,1,7.7,3044-08-21T16:50:56,11,100,89,938,43.27543897,-179.2419882,1,NUC,3044-08-21T01:12:23,
R1SSM11R_2_N001,6.853,1,7.7,3044-08-22T19:21:49,11,100,89,973,43.2754147,-179.2420206,3,NUC,3044-08-22T03:08:39,
R1SSM11R_2_N001,3.696,1,7.7,3044-08-23T17:02:46,52,100,48,1105,43.2754147,-179.2419235,22,NUC,3044-08-22T22:37:07,
R1SSM11R_2_N001,6.853,1,7.7,3044-08-24T17:03:07,11,100,89,1087,43.27542603,-179.2419559,22,NUC,3044-08-23T22:55:29,
R1SSM11R_2_N001,6.699,1,7.7,3044-09-16T16:42:14,13,100,87,1499,43.27540823,-179.2419559,15,NUC,3044-09-15T15:43:08,
R1SSM11R_2_N001,0.693,1,7.7,3044-09-17T16:01:00,12,21,9,72,43.27543088,-179.2419559,14,NUC,3044-09-17T14:48:09,
R1SSM11R_2_N001,6.93,1,7.7,3044-09-20T22:24:07,10,100,90,1403,43.27538881,-179.2419882,23,NUC,3044-09-19T23:00:12,
R1SSM11R_2_N001,7.007,1,7.7,3044-09-23T22:08:33,9,100,91,1578,43.2754147,-179.2419882,19,NUC,3044-09-22T19:50:13,
R1SSM11R_2_N001,6.853,1,7.7,3044-09-25T20:03:12,11,100,89,863,43.27538234,-179.2419235,5,NUC,3044-09-25T05:40:12,
R1SSM11R_2_N001,4.081,1,7.7,3044-09-26T17:13:07,47,100,53,852,43.27539852,-179.2419559,3,NUC,3044-09-26T03:00:12,
R1SSM11R_2_N001,6.545,1,7.7,3044-09-27T15:40:10,11,96,85,664,43.2754147,-179.2419235,4,NUC,3044-09-27T04:35:12,
R1SSM11R_2_N001,6.776,1,7.7,3044-09-30T17:19:29,12,100,88,1314,43.27539529,-179.2419235,19,NUC,3044-09-29T19:25:14,
R1SSM11R_2_N001,7.315,1,7.7,3044-10-01T16:12:26,5,100,95,1212,43.27539852,-179.2419559,20,NUC,3044-09-30T20:00:12,
R1SSM11R_2_N001,4.697,1,7.7,3044-10-02T19:08:58,39,100,61,1083,43.27540823,-179.2419559,1,NUC,3044-10-02T01:05:12,
R1SSM11R_2_N001,6.853,1,7.7,3044-10-03T18:16:18,11,100,89,761,43.27542603,-179.2419559,5,NUC,3044-10-03T05:35:12,
R1SSM11R_2_N001,3.003,1,7.7,3044-10-04T23:25:05,13,52,39,294,43.27540823,-179.2419235,18,NUC,3044-10-04T18:30:46,
R1SSM11R_2_N001,4.851,1,7.7,3044-10-05T20:27:17,37,100,63,1222,43.27539852,-179.2419882,0,NUC,3044-10-05T00:05:13,
R1SSM11R_2_N001,0.308,1,7.7,3044-10-05T23:33:49,53,57,4,28,43.27540823,-179.2419882,23,NUC,3044-10-05T23:05:13,
R1SSM11R_2_N001,6.93,1,7.7,3044-10-06T15:54:13,10,100,90,884,43.27538234,-179.2419559,1,NUC,3044-10-06T01:10:12,
R1SSM11R_2_N001,1.54,1,7.7,3044-10-07T17:08:23,80,100,20,1318,43.27542603,-179.2419559,19,NUC,3044-10-06T19:10:13,
R1SSM11R_2_N001,6.853,1,7.7,3044-10-08T16:27:39,11,100,89,782,43.2754147,-179.2419235,3,NUC,3044-10-08T03:25:12,
R1SSM11R_2_N001,4.389,1,7.7,3044-10-09T16:25:07,43,100,57,829,43.27539852,-179.2419559,2,NUC,3044-10-09T02:35:14,
R1SSM11R_2_N001,0.693,1,7.7,3044-10-09T19:58:35,74,83,9,83,43.27539852,-179.2419559,18,NUC,3044-10-09T18:35:26,
